Wall time,Step,Value
1557323470.1052997,14000,-0.03000003844499588
1557323486.721905,16000,0.5507499575614929
1557323552.7731042,24000,0.8174999952316284
1557323569.4507935,26000,0.07039998471736908
1557323618.5326753,32000,-1.492499828338623
1557323634.8788922,34000,0.6749999523162842
1557323684.289389,40000,-1.0000001192092896
1557323700.9992702,42000,-0.047500040382146835
1557323717.3765848,44000,-0.01283333357423544
1557323784.218751,52000,-1.0000001192092896
1557323934.0386217,70000,-0.07875004410743713
1557323983.9761837,76000,-1.441499948501587
1557324049.412378,84000,-1.0000001192092896
1557324081.7337236,88000,-1.0000001192092896
1557324115.2442846,92000,0.8936249613761902
1557324131.7362206,94000,-1.0000001192092896
1557324164.607573,98000,0.26399996876716614
1557324197.4290342,102000,-1.0000001192092896
1557324262.945711,110000,-1.0000001192092896
1557324278.7255676,112000,-0.06250003725290298
1557324294.9095562,114000,-1.3089998960494995
1557324311.7551825,116000,-0.17125004529953003
1557324328.224377,118000,0.5804166197776794
1557324426.2101128,130000,-1.0000001192092896
1557324458.7778535,134000,-1.0000001192092896
1557324474.689514,136000,-1.0000001192092896
1557324491.447484,138000,-0.03375003859400749
1557324507.5694387,140000,-1.0000001192092896
1557324556.7815726,146000,-1.4097498655319214
1557324573.290981,148000,-1.0000001192092896
1557324589.406146,150000,0.24416664242744446
1557324606.1995237,152000,0.9269999861717224
1557324687.3056378,162000,-0.05250003933906555
1557324769.316955,172000,0.39400002360343933
1557324817.6671925,178000,-1.0000001192092896
1557324833.965856,180000,-1.0000001192092896
1557324933.4077184,192000,-1.0000001192092896
1557325064.5038214,208000,-1.0000001192092896
1557325113.1522229,214000,-1.5499998331069946
1557325129.5223546,216000,0.25083330273628235
1557325243.8657115,230000,-1.0000001192092896
1557325292.0831375,236000,0.5424999594688416
1557325324.3554862,240000,-1.0000001192092896
1557325440.9416249,254000,-0.12400000542402267
1557325457.3166223,256000,-0.027500037103891373
1557325506.6220522,262000,0.28583329916000366
1557325522.9732375,264000,-1.0000001192092896
1557325638.1688151,278000,0.25583329796791077
1557325671.0609713,282000,-0.4444999694824219
1557325703.658228,286000,-0.6010000109672546
1557325719.827877,288000,-1.0000001192092896
1557325735.8529966,290000,-0.04000003635883331
1557325851.9103296,304000,0.343375027179718
1557325934.107993,314000,0.8449999690055847
1557325967.3412557,318000,-1.0000001192092896
1557325983.6323788,320000,-1.1894999742507935
1557325999.8006167,322000,-1.0000001192092896
1557326049.4690738,328000,-0.02375003695487976
1557326098.427981,334000,-1.0000001192092896
1557326130.81952,338000,-1.0000001192092896
1557326147.432864,340000,-1.0000001192092896
1557326196.4327178,346000,-1.0000001192092896
1557326294.0220633,358000,-1.0255000591278076
1557326310.428929,360000,-1.0000001192092896
1557326342.463309,364000,-1.0000001192092896
1557326392.3297303,370000,-0.04375004023313522
1557326425.3374724,374000,-0.08749997615814209
1557326441.791105,376000,-0.03650004789233208
1557326474.2189906,380000,-1.0000001192092896
1557326507.5295749,384000,-1.279999852180481
1557326524.1804445,386000,0.4324999749660492
1557326638.1838598,400000,-1.0000001192092896
1557326768.7581675,416000,-1.0000001192092896
1557326785.263479,418000,-1.0000001192092896
1557326801.2046041,420000,-1.0000001192092896
1557326866.4551349,428000,-1.0337499380111694
1557327030.440522,448000,-1.0000001192092896
1557327047.1303935,450000,0.9375
1557327079.4257133,454000,-0.02375003695487976
1557327112.089956,458000,0.06899988651275635
1557327144.7470102,462000,-1.0000001192092896
1557327193.7152812,468000,-1.0000001192092896
1557327210.2056868,470000,-1.0000001192092896
1557327226.2298467,472000,-1.0000001192092896
1557327275.3648403,478000,-1.0000001192092896
1557327438.1531584,498000,-1.0000001192092896
