Wall time,Step,Value
1557066743.1475189,12000,-1.189500093460083
1557066751.5723488,14000,-1.3607500791549683
1557066785.200324,22000,-1.111875057220459
1557066793.62386,24000,-1.0500000715255737
1557066818.8292396,30000,-1.100000023841858
1557066827.261807,32000,-1.1514285802841187
1557066852.125887,38000,-0.9069444537162781
1557066860.5895705,40000,-1.2521429061889648
1557066868.9763799,42000,-0.8450000286102295
1557066903.1860125,50000,-1.2422223091125488
1557066979.126703,68000,-0.8485714793205261
1557067004.3103125,74000,-1.183500051498413
1557067037.393489,82000,-1.0000001192092896
1557067054.0871181,86000,-0.861750066280365
1557067070.8088706,90000,-0.4465000629425049
1557067078.9979806,92000,-1.0000001192092896
1557067095.3994024,96000,-0.5407143235206604
1557067110.1463754,100000,-0.7862500548362732
1557067139.3192778,108000,-0.6833333969116211
1557067146.6404638,110000,-0.7017500400543213
1557067153.8828661,112000,-0.9097222685813904
1557067161.178809,114000,-1.0455000400543213
1557067168.4400399,116000,-1.0165715217590332
1557067212.1660004,128000,-0.6434375643730164
1557067226.7803333,132000,-0.6100000143051147
1557067234.1687243,134000,-0.6007273197174072
1557067241.9427583,136000,-0.6196429133415222
1557067249.2252316,138000,-0.8654167056083679
1557067270.6845372,144000,-0.705416738986969
1557067277.9257214,146000,-0.7508571743965149
1557067285.0717971,148000,-0.6941667199134827
1557067292.4229934,150000,-0.7453571557998657
1557067327.707818,160000,-0.9689286351203918
1557067362.4485338,170000,-1.008333444595337
1557067383.0386562,176000,-0.6837500333786011
1557067389.8610091,178000,-1.0000001192092896
1557067430.6566007,190000,-0.8445833921432495
1557067485.4630895,206000,-0.41291671991348267
1557067505.7898471,212000,-0.3212500512599945
1557067512.7115104,214000,-1.0000001192092896
1557067561.2523372,228000,-0.29318755865097046
1557067581.991526,234000,-0.28964290022850037
1557067595.7927861,238000,-1.1576000452041626
1557067644.0966403,252000,-0.6935834288597107
1557067650.794197,254000,-1.0800000429153442
1557067671.350923,260000,-0.6775000691413879
1557067678.164489,262000,-1.0000001192092896
1557067725.8470137,276000,-0.7267857789993286
1557067739.1507711,280000,-0.48678576946258545
1557067752.730762,284000,-0.6135000586509705
1557067759.4889987,286000,-0.8082143664360046
1557067766.2231255,288000,-0.45250004529953003
1557067813.9565496,302000,0.19233329594135284
1557067848.107465,312000,-0.7350000739097595
1557067861.395068,316000,-0.6075000762939453
1557067868.217408,318000,-0.7047500610351562
1557067875.8317192,320000,-0.7162500619888306
1557067897.2607145,326000,-1.0000001192092896
1557067917.9541528,332000,-0.724166750907898
1557067931.6249118,336000,-0.32450005412101746
1557067938.4557812,338000,-0.7945833802223206
1557067959.0432897,344000,-0.5368750691413879
1557068000.077378,356000,-0.4635714888572693
1557068006.987663,358000,-1.0045000314712524
1557068021.0294902,362000,-1.0000001192092896
1557068041.9073114,368000,-0.639500081539154
1557068055.7387066,372000,-1.0000001192092896
1557068062.5943983,374000,-0.9615000486373901
1557068076.4511945,378000,-0.56968754529953
1557068090.217752,382000,-0.6050000786781311
1557068097.07632,384000,-0.8877778053283691
1557068147.1990778,398000,-0.7675000429153442
1557068202.9945455,414000,-0.5556250214576721
1557068209.84213,416000,-0.6216667294502258
1557068216.7805073,418000,-0.6355000734329224
1557068244.006407,426000,-1.0000001192092896
1557068312.9174871,446000,-0.21257147192955017
1557068319.8835254,448000,-1.0000001192092896
1557068333.873598,452000,-0.47883340716362
1557068347.4148037,456000,-1.0000001192092896
1557068361.1500726,460000,-1.0000001192092896
1557068381.7243004,466000,-0.8015000820159912
1557068388.5802453,468000,-0.23581255972385406
1557068395.4358156,470000,-0.9133334159851074
1557068416.082344,476000,-1.0000001192092896
1557068484.7951438,496000,-0.3171875476837158
1557068498.8282537,500000,-1.0000001192092896
1557068540.4192417,512000,-0.7292857766151428
1557068561.0394034,518000,-0.5570833683013916
1557068567.8885572,520000,-1.0000001192092896
1557068574.6876028,522000,-0.009285755455493927
1557068581.5236824,524000,-0.68666672706604
1557068595.2327015,528000,-0.4942857623100281
1557068622.4826732,536000,-0.2990625500679016
1557068636.1447203,540000,-1.0000001192092896
1557068649.8129747,544000,-1.0000001192092896
1557068663.602616,548000,-0.4618571996688843
1557068698.3836496,558000,-0.7104167342185974
1557068739.7616558,570000,-0.5418750643730164
1557068788.3016233,584000,-1.0000001192092896
1557068795.2507715,586000,-1.0000001192092896
1557068829.7242463,596000,-0.7383334040641785
1557068836.703616,598000,-0.6605000495910645
1557068857.8543644,604000,-0.82708340883255
1557068864.7805886,606000,-0.7722857594490051
1557068871.744368,608000,-0.8205000758171082
1557068899.5624764,616000,-0.082100048661232
1557068906.495645,618000,-0.09968753904104233
1557068920.4466593,622000,-0.04178575798869133
1557068941.3464293,628000,-0.6954167485237122
1557068968.9999757,636000,-0.16025003790855408
1557068975.9063299,638000,0.43572723865509033
1557068982.8844862,640000,-0.3944444954395294
1557068989.8952477,642000,0.05731245130300522
1557069003.906982,646000,-0.6825000643730164
1557069025.080683,652000,-1.0004167556762695
1557069032.0614648,654000,-0.0018000378040596843
1557069038.9809866,656000,-0.6950000524520874
1557069059.954293,662000,-0.4166111350059509
1557069080.7201452,668000,-0.18518757820129395
1557069122.4797118,680000,-1.0000001192092896
1557069136.395576,684000,-0.7050000429153442
1557069157.2224464,690000,-0.6841667294502258
1557069164.250575,692000,-0.40633338689804077
1557069178.2144146,696000,-0.36250004172325134
1557069185.138582,698000,-0.4637143313884735
1557069220.8083012,708000,-0.21535718441009521
1557069227.8279865,710000,-0.6855000853538513
1557069255.7458315,718000,0.03911105915904045
1557069269.621152,722000,-0.4853125512599945
1557069290.5380452,728000,-0.22678576409816742
1557069318.356592,736000,-0.6470000743865967
1557069346.0335429,744000,-0.2825000584125519
1557069359.8757496,748000,-0.0974375531077385
1557069388.0830579,756000,-0.12187504768371582
1557069395.022084,758000,-1.0381250381469727
1557069402.0013561,760000,-0.31437504291534424
1557069415.8475668,764000,-0.6858333945274353
1557069450.4238865,774000,-1.0000001192092896
1557069457.3354926,776000,-1.0000001192092896
1557069484.886532,784000,-0.6265000700950623
1557069491.5250807,786000,-1.0000001192092896
1557069498.4684522,788000,-1.0000001192092896
1557069570.2484446,808000,-0.7604167461395264
1557069606.1394262,818000,-0.3018750548362732
1557069654.016755,832000,-0.48375004529953003
1557069660.8740315,834000,-0.4647143483161926
1557069694.9381404,844000,-0.6783334016799927
1557069701.7354047,846000,-0.4578571915626526
1557069715.492475,850000,-1.0000001192092896
