Wall time,Step,Value
1555906868.4698892,378000,-1.0000001192092896
1555906880.7413597,382000,-1.0000001192092896
1555906886.940708,384000,-1.0000001192092896
1555906930.7067177,398000,-0.7475000619888306
1555906980.8913958,414000,-1.0000001192092896
1555906987.203237,416000,-1.1355000734329224
1555906993.4987028,418000,-1.098571538925171
1555907018.5583465,426000,-1.0000001192092896
1555907081.0523436,446000,-1.0000001192092896
1555907087.3149915,448000,-1.0000001192092896
1555907100.0682244,452000,-1.0000001192092896
1555907112.692869,456000,-1.0012500286102295
1555907125.2269886,460000,-1.0000001192092896
1555907144.238204,466000,-1.0000001192092896
1555907150.496271,468000,-1.0000001192092896
1555907156.7677734,470000,-1.0000001192092896
1555907175.5920904,476000,-1.0000001192092896
1555907238.2666643,496000,-1.0000001192092896
1555907250.9922748,500000,-1.0000001192092896
1555907288.4221318,512000,-1.0000001192092896
1555907307.3234618,518000,-1.0000001192092896
1555907313.562016,520000,-0.6917500495910645
1555907319.8640754,522000,-1.0212500095367432
1555907326.177286,524000,-1.0000001192092896
1555907338.7247021,528000,-0.620062530040741
1555907363.8338413,536000,-1.0000001192092896
1555907376.3991685,540000,-0.8210833668708801
1555907388.7687268,544000,-1.0000001192092896
1555907401.2889998,548000,-1.0000001192092896
1555907432.9010518,558000,-0.56187504529953
1555907470.5350482,570000,-1.0000001192092896
1555907514.0255363,584000,-1.1118000745773315
1555907520.2602768,586000,-0.7485000491142273
1555907551.3054273,596000,-1.0075000524520874
1555907557.5286176,598000,-1.0000001192092896
1555907576.5279114,604000,-1.0000001192092896
1555907582.7253313,606000,-1.1066428422927856
1555907588.6416385,608000,-1.0000001192092896
1555907613.4617827,616000,-1.0000001192092896
1555907619.6073773,618000,-1.0000001192092896
1555907631.9915845,622000,-0.6995834112167358
1555907650.4868128,628000,-1.0000001192092896
1555907675.0380244,636000,-0.6265000700950623
1555907681.2007985,638000,-1.0000001192092896
1555907687.3871799,640000,-0.31312504410743713
1555907693.3460956,642000,-0.7095834016799927
1555907705.6784859,646000,-1.027500033378601
1555907724.29313,652000,-1.0000001192092896
1555907730.3984659,654000,-1.0000001192092896
1555907736.6030354,656000,-1.0000001192092896
1555907755.1774132,662000,-1.0000001192092896
1555907773.7419083,668000,-0.7262500524520874
1555907810.4512455,680000,-1.0000001192092896
1555907822.8775053,684000,-0.6845000982284546
1555907841.3939235,690000,-0.8390000462532043
1555907847.5022314,692000,-0.68666672706604
1555907859.8434181,696000,-1.0000001192092896
1555907866.0582693,698000,-0.6823334097862244
1555907896.8157942,708000,-0.6785000562667847
1555907902.9227831,710000,-1.0000001192092896
1555907927.6849346,718000,-0.6755000352859497
1555907940.048255,722000,-0.830500066280365
1555907958.561559,728000,-1.0000001192092896
1555907983.0517738,736000,-0.6782500743865967
1555908007.7952504,744000,-0.7475000619888306
1555908020.0870843,748000,-0.46014291048049927
1555908045.0237556,756000,-0.4937857389450073
1555908051.1801968,758000,-0.6871667504310608
1555908057.4190807,760000,-0.10940003395080566
1555908069.6978934,764000,-0.4563572108745575
1555908100.2681565,774000,-0.7459286451339722
1555908106.447249,776000,-1.0000001192092896
1555908130.9958994,784000,0.11379994451999664
1555908137.2197266,786000,-0.6824167370796204
1555908143.3422875,788000,-1.0000001192092896
1555908205.5075903,808000,-0.3692500591278076
1555908236.9115663,818000,-0.6154375672340393
1555908281.027523,832000,-0.7875000834465027
1555908287.3797581,834000,-0.5522727370262146
1555908318.88329,844000,-0.6457143425941467
1555908325.2015114,846000,-0.68666672706604
1555908337.6537905,850000,-0.4483571946620941
1555908350.2471693,854000,-0.5286667346954346
1555908375.0543072,862000,-0.41825005412101746
1555908431.2427857,880000,-0.060142919421195984
1555908443.6385338,884000,-0.6330625414848328
1555908449.9055908,886000,-1.0000001192092896
1555908468.705246,892000,-0.21911115944385529
1555908506.738359,904000,-0.6211667060852051
1555908556.8632581,920000,-0.39350005984306335
1555908563.0831623,922000,-0.47528576850891113
1555908569.2638087,924000,-0.6747500896453857
1555908581.7396445,928000,0.0029545086435973644
1555908588.0721967,930000,-0.046625055372714996
1555908606.9647005,936000,-0.225444495677948
1555908613.2749102,938000,-0.4983333647251129
1555908644.4729502,948000,-0.47200003266334534
1555908650.7352655,950000,-0.44950005412101746
1555908719.304239,972000,-1.0127500295639038
1555908738.045269,978000,0.16999995708465576
1555908744.333118,980000,-0.38911113142967224
1555908756.5731814,984000,-0.2322857826948166
1555908769.0085864,988000,-0.1675625443458557
1555908787.6730359,994000,-0.873285710811615
1555908856.5471523,1016000,-0.14087505638599396
1555908881.235257,1024000,0.15749995410442352
1555908887.4770436,1026000,-0.2192222774028778
1555908899.9576094,1030000,-0.538562536239624
1555908918.6825132,1036000,-0.3943333923816681
1555908931.0534472,1040000,-0.02957695722579956
1555908962.8827481,1050000,-0.31679171323776245
1555908969.3213747,1052000,0.2164166420698166
1555909006.841919,1064000,-0.06337504833936691
1555909019.445055,1068000,0.08012494444847107
1555909025.7165158,1070000,-0.6737000942230225
1555909032.1098216,1072000,-0.12970836460590363
1555909038.3878984,1074000,-0.26818183064460754
1555909044.7131302,1076000,-0.20535004138946533
1555909051.094261,1078000,-0.07319236546754837
1555909063.6828403,1082000,-0.09055005013942719
1555909076.3414385,1086000,0.23669224977493286
1555909107.6961129,1096000,0.10314993560314178
1555909113.9965727,1098000,0.13374994695186615
1555909120.4263458,1100000,0.03688230738043785
1555909133.0644624,1104000,-0.004035744350403547
1555909158.3478847,1112000,0.12096662074327469
1555909171.030911,1116000,-0.6034286022186279
1555909183.693061,1120000,0.18668176233768463
1555909208.6426194,1128000,-1.0176666975021362
1555909215.0034924,1130000,-0.21236367523670197
1555909221.3091497,1132000,-0.45021435618400574
1555909246.6485982,1140000,0.12390901893377304
1555909272.0194533,1148000,0.2090332806110382
1555909278.4654675,1150000,-0.4468889534473419
1555909297.1613357,1156000,-0.2136111557483673
1555909309.7382705,1160000,-0.10400005429983139
1555909316.0278842,1162000,-0.7829286456108093
1555909322.3930628,1164000,-0.5783572196960449
1555909328.6806161,1166000,-0.2413000464439392
1555909335.0221322,1168000,0.3703124523162842
1555909341.3161397,1170000,-0.44550007581710815
1555909353.8205264,1174000,-0.1299375593662262
1555909360.1451514,1176000,-0.1815556287765503
1555909391.3118227,1186000,0.05266660079360008
1555909397.648059,1188000,-0.3124285936355591
1555909416.4138494,1194000,-0.1561538577079773
1555909422.750412,1196000,-0.6440000534057617
1555909441.8415644,1202000,-0.6317143440246582
1555909454.4811969,1206000,-0.9800000786781311
1555909479.7001781,1214000,0.11111102998256683
1555909492.3295486,1218000,-0.33775007724761963
1555909504.910497,1222000,-0.0865500345826149
1555909517.5616663,1226000,-0.20922227203845978
1555909536.240116,1232000,-0.2672222852706909
1555909561.5390792,1240000,-0.2474091500043869
1555909567.8144157,1242000,-0.3344000279903412
1555909580.4925458,1246000,-0.5653572082519531
1555909599.5590415,1252000,-0.42100006341934204
1555909624.9415703,1260000,-0.4036875367164612
1555909656.2665155,1270000,-0.11055005341768265
1555909700.4319987,1284000,0.26895827054977417
1555909706.8127792,1286000,-0.2798125743865967
1555909719.3724103,1290000,-0.36775004863739014
1555909725.7909338,1292000,-0.23890912532806396
1555909732.1816928,1294000,0.1084999293088913
1555909738.5255723,1296000,-0.20407147705554962
1555909751.1231709,1300000,0.03696149215102196
1555909770.2049918,1306000,-0.3276875615119934
