Wall time,Step,Value
1555939984.0953586,4000,-1.1031666994094849
1555939996.865846,8000,-1.170727252960205
1555940009.5782948,12000,-0.8706111311912537
1555940015.9450235,14000,-0.7240833640098572
1555940028.7994945,18000,-0.48295003175735474
1555940041.6157303,22000,-0.8827778100967407
1555940047.9710803,24000,-0.7611875534057617
1555940054.3749034,26000,-0.5112500190734863
1555940060.7943952,28000,-0.6450715065002441
1555940067.134016,30000,-0.726722240447998
1555940073.567364,32000,-0.639916718006134
1555940079.9311867,34000,-0.34121429920196533
1555940086.3597512,36000,-0.4907273054122925
1555940092.5501802,38000,-0.6027000546455383
1555940098.8901477,40000,-0.2580333352088928
1555940105.301159,42000,-0.2431071698665619
1555940111.6542468,44000,-0.1969091147184372
1555940118.0623324,46000,-0.5318000316619873
1555940124.4921265,48000,-0.68666672706604
1555940131.0515642,50000,-0.23400001227855682
1555940137.5235975,52000,-0.3818000257015228
1555940150.2422621,56000,-0.39027780294418335
1555940169.4739265,62000,-0.03320002183318138
1555940175.866514,64000,0.2656363248825073
1555940182.2505417,66000,-0.27068185806274414
1555940188.668435,68000,-0.004107168409973383
1555940195.0043461,70000,-0.697100043296814
1555940207.714658,74000,-0.22875003516674042
1555940226.866627,80000,0.21713633835315704
1555940233.2620347,82000,-0.022208360955119133
1555940245.9709427,86000,0.16899996995925903
1555940252.3685262,88000,-0.21562501788139343
1555940258.7205434,90000,-0.13710002601146698
1555940265.1893144,92000,0.406374990940094
1555940271.519179,94000,0.16589996218681335
1555940277.8400888,96000,0.2266537994146347
1555940290.7828753,100000,0.5668213963508606
1555940297.2573302,102000,0.3349999785423279
1555940316.251847,108000,0.47478121519088745
1555940322.576542,110000,0.1965952217578888
1555940328.791746,112000,0.3471110761165619
1555940335.148493,114000,0.7228749990463257
1555940341.4676533,116000,0.4234999716281891
1555940360.6074722,122000,0.27503567934036255
1555940366.9298825,124000,0.7686904668807983
1555940373.2876415,126000,0.6312894821166992
